,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
54,ZCCHC11,0.8828048,1.2365524,0.21625330013870525,STK17A,0.36937055,2.4115882,0.01588321355840039,IL1B,3.5251374,7.8882694,3.0640521290114762e-15,TNFRSF13C,7.3227406,2.7375414,0.0061900331944481045,CDC42EP3,1.0305972,2.1478555,0.03172523052902909,HLA-DMA,1.5557445,7.911959,2.5336996416625814e-15,STK17A,1.0095034,4.0082674,6.116590240195801e-05,TMEM208,1.5063034,3.2740881,0.0010600349542181054,CLDN5,12.602811,2.7683623,0.005633877886274836
55,ARRDC3,0.9310755,1.2077756,0.22713360267239402,SRSF3,0.31349155,2.3503485,0.01875584604631775,ATP5D,0.8366462,7.229297,4.854994231684564e-13,ZNF92,2.1232874,2.6890633,0.00716528431692716,GPR56,2.000093,2.0377493,0.04157502371587716,CNPY3,1.4572675,7.619131,2.5538923427341713e-14,BTN3A2,1.2340262,3.9769776,6.979672572069981e-05,SDHB,1.3285087,3.2707736,0.0010725373018708017,HGD,11.325592,2.7680187,0.005639823250207216
56,LRBA,0.79553574,1.2045455,0.2283788022060077,C14orf166,0.3738344,2.336021,0.019490148490065848,FGL2,2.2260137,7.104701,1.2058342936590903e-12,ARL4A,0.9788417,2.6515257,0.008012898212020211,ACAP1,0.46113488,2.0245714,0.0429113888901309,CAPZB,1.1003156,7.591871,3.153198735016053e-14,RAB7A,0.9932639,3.9745061,7.052547592415358e-05,DNAJC15,1.4957997,3.2691164,0.0010788394972177015,SCGB1C1,9.687601,2.7632065,0.005723654710561117
57,MDS2,1.9818821,1.181759,0.2373013577494213,SH2D1A,0.7952533,2.3290274,0.019857611337398627,SAT2,1.8434911,7.0485163,1.8083542920163103e-12,BACE2,5.8265176,2.5479755,0.010835003454015113,PLEKHF1,1.612687,2.0241525,0.04295446325165265,FPR1,2.3550062,7.5264373,5.214353081015323e-14,KLRB1,2.7136278,3.919973,8.855894302023354e-05,C16orf13,1.3453894,3.2558577,0.0011305038674243098,C6orf25,7.9141483,2.74877,0.0059819341991858635
58,S100B,1.1698356,1.1523068,0.24919504618747323,FUS,0.4222016,2.3025696,0.02130306715386975,HLA-DPA1,1.0726758,6.9515963,3.6117523292706e-12,CAMK1D,1.9473406,2.5409029,0.01105666375136133,PILRB,1.4857571,2.017221,0.04367246994434863,CAPZA2,1.6343255,7.49766,6.496713483406843e-14,PSMC4,1.5307084,3.9176064,8.943256777255565e-05,NUDT1,1.867741,3.2512758,0.0011488838357881033,DMTN,7.964876,2.7453327,0.006044956815003856
59,PITPNA-AS1,0.82117635,1.142,0.2534540448239233,PNRC1,0.31064108,2.2641363,0.023565735211080636,C5AR1,2.6427748,6.8596992,6.9005677482107315e-12,CDC40,1.2314234,2.445015,0.014484617509347644,SRSF3,0.24910526,1.9559026,0.050476637584836295,UQCRC1,1.708144,7.386554,1.5068304108158987e-13,LYAR,1.4454166,3.9081407,9.30091458383625e-05,UBE2L6,1.2333804,3.2426965,0.001184042112963419,MAP3K7CL,6.74117,2.7164598,0.006598419739602933
60,NOG,3.5452068,1.142,0.2534540448239233,KARS,0.51491195,2.2433414,0.024874809186927003,FCGR1A,4.671111,6.707114,1.9851057060048592e-11,GGA2,1.6914304,2.4320848,0.015012188115844191,GPR171,1.5029068,1.8872716,0.05912379139779855,PSMA7,1.1082382,7.3124833,2.622500626408727e-13,CYB5B,2.0954669,3.7453299,0.0001801568284339447,CD47,1.228482,3.2371397,0.0012073427842204006,TMEM50A,2.4917884,2.6710882,0.007560579285860531
61,MRPS33,0.5336732,1.1222672,0.26174882577614356,CCT7,0.48255008,2.2378333,0.02523193413010637,DYNLT1,1.6034663,6.672926,2.5075326225771645e-11,P2RY10,1.9913678,2.3750236,0.01754782714418216,SPON2,0.91553575,1.8627063,0.06250360242879982,ZYX,1.8511858,7.228427,4.886209576861227e-13,DEF6,1.5093904,3.7048376,0.0002115261755353951,FCER1G,1.2139461,3.2337277,0.001221859354192375,TMEM91,5.1309004,2.6264038,0.00862923645200149
62,THEM4,0.7566749,1.0788964,0.2806338922559264,GALT,1.1732284,2.235729,0.02536953075660725,TNFAIP2,3.3460162,6.395883,1.5962213829174016e-10,PHACTR1,2.0888233,2.3635304,0.01810174514922483,GADD45B,0.48640314,1.7950656,0.07264323629694942,MARCKSL1,1.7193905,7.164131,7.82814748421022e-13,LIMD2,0.5461187,3.5541747,0.0003791673539372215,MS4A6A,1.6640055,3.215302,0.0013030731858800215,VDAC3,3.449765,2.4770553,0.013247138017314097
63,SUCLG2,0.3929026,1.0613368,0.288536910310326,RGS1,0.93159676,2.187548,0.028702546931575788,ARRB2,1.2736197,6.058707,1.3722003366200184e-09,SRSF5,0.13831355,2.338886,0.019341332052583062,RAB9A,1.1241741,1.7707669,0.07659947896207966,DYNLT1,1.5613332,7.049949,1.7898307265680377e-12,S100B,3.5412245,3.5247257,0.00042392156484183504,POLR2E,1.562187,3.1884925,0.001430167405617584,RP11-879F14.2,30.383368,2.3081143,0.020992775824126304
64,ICOS,1.1457216,1.0517052,0.29293479028418057,NDUFA12,0.4525251,2.1866195,0.02877030493378924,HLA-DPB1,0.88424593,6.0191493,1.7533607195520006e-09,RP11-428G5.5,5.6480975,2.288124,0.02213030222527483,C5orf56,0.73237336,1.6777611,0.09339375820793737,VAMP5,1.5304865,7.0032654,2.5006466373767678e-12,RALY,1.0972698,3.50327,0.0004595833757158576,LGALS2,1.5637722,3.1823506,0.0014608485266598109,ITGB3,10.967113,2.3062239,0.021098125497014467
65,SLC40A1,1.047799,1.0481522,0.2945684819154306,RNF139,0.64581585,2.1627302,0.030561933836543303,G0S2,3.0421753,5.9370203,2.9024881804715613e-09,MALAT1,0.27087104,2.2705157,0.023176314408559353,ORAI1,0.9442302,1.65072,0.09879575513369244,IFI35,1.5916466,7.001243,2.5370167054875317e-12,RCN2,1.5638422,3.4790797,0.0005031387965431984,DNAJC7,1.3778774,3.1702619,0.0015230158650494016,FSTL1,10.046646,2.3050208,0.021165405763466965
66,CITED4,1.13108,1.0446873,0.29616753940585194,NDUFB8-1,0.30640107,2.1460202,0.031871378140794264,TMEM205,2.0102758,5.7526717,8.784407245775032e-09,EIF1AY,0.94044507,2.203066,0.027590082408174847,PRNP,0.8326074,1.645388,0.09988982166049928,SERPINB1,1.2091677,6.963786,3.3124722713417364e-12,KIR3DL2,5.0184226,3.475346,0.0005101947196618974,LST1,1.1958437,3.1648026,0.0015518824979936085,FAXDC2,10.005864,2.3034742,0.021252183546236026
67,SF3B1,0.33031306,1.0438651,0.29654782795124146,ZNF32,0.78133005,2.0977771,0.035924835087827706,TMEM219,1.1868775,5.6757383,1.3809175817799191e-08,CHI3L2,1.9148968,2.1227973,0.03377084000947402,JAKMIP1,3.5481646,1.643179,0.10034589908371913,RXRA,3.289003,6.6297097,3.36348145102477e-11,TMBIM6,0.5646489,3.4019866,0.0006689792186822,MT-CO1,0.37704518,3.1484241,0.0016415325467569503,ESAM,9.012225,2.300037,0.021446133297035732
68,MINA,1.0201993,1.0374637,0.2995198153516727,ICOS,1.8986304,2.0789938,0.03761793118783556,FCGR2A,2.5223234,5.559386,2.7072550426089448e-08,ITSN2,0.99725676,2.0010126,0.045391035755357426,HNRNPM,0.33708718,1.6422268,0.10054299544724521,CASP4,1.1943252,6.5343614,6.388154481398499e-11,ARL6IP5,0.58766496,3.2775648,0.0010470672972347616,LGALS3,1.1299016,3.1305838,0.0017445928835074502,FTH1,1.0134714,2.2967715,0.02163181128119717
69,NDUFA12,0.20567535,1.0332646,0.3014800850668392,SSBP1,0.36140263,2.0652852,0.0388960280909167,RILPL2,1.3210666,5.0870137,3.6374519075535363e-07,ADD1,1.0498518,1.9860934,0.047022956057391006,HDAC1,0.58483374,1.5209994,0.1282599920983975,HLA-DQA1,1.237252,6.4136486,1.420772982401651e-10,LAT2,1.8148006,3.269361,0.0010779065881672265,SNX5,1.5251333,3.1290238,0.0017538807364974585,ALOX12,8.443193,2.2964277,0.021651437496701113
70,SPG20,0.7678975,1.0105075,0.3122522481819453,NSA2,0.45424896,2.0504317,0.04032232674246642,TNFSF10,1.1837649,5.085178,3.67281393223199e-07,MT-CO2,0.14064237,1.9779154,0.04793824478085878,ITGB7,0.66203314,1.511973,0.13054072636118444,RNF181,1.3637295,6.4075394,1.4788683255871889e-10,RBM3,0.5071006,3.2340224,0.0012205992268722766,STOML2,1.588435,3.0990946,0.0019411305379338866,RBBP6,3.2951858,2.296084,0.021671079210076816
71,THOC7,0.3318699,1.0093035,0.3128291082267942,FNTA,0.52695876,2.041829,0.04116849569244142,OSCAR,3.0879698,5.0848317,3.679523115970502e-07,BBX,0.8270492,1.9610807,0.049869606909314204,RPS3A,0.22037147,1.5099545,0.1310550433456993,SDHB,1.2884223,6.2178965,5.038638153375985e-10,KLRG1,1.5840316,3.2083597,0.0013349445440207367,SSBP1,1.0747,3.071115,0.002132609467051104,HIST1H2BJ,8.244836,2.2926466,0.02186835091024591
72,NARG2,1.0661651,1.0030783,0.3158230866663987,CD82,0.9732868,2.0185895,0.04352990498758662,RETN,3.7718782,5.00679,5.534525798037882e-07,RIC3,0.9294032,1.9457195,0.0516884441455972,RGS14,0.8072258,1.4930824,0.13541561834205826,CAP1,1.0509709,6.2020965,5.571593054552163e-10,PTPN7,1.9458325,3.189954,0.001422954259205452,SCP2,1.1192768,3.052592,0.0022687412997183676,SENCR,6.1893816,2.2570713,0.024003626695205022
73,ADPRM,0.874655,1.0018743,0.31640427496278,IFI27,1.8672338,2.0155568,0.043846330953995656,RNF7,1.0004916,4.8254547,1.3968412421976852e-06,PAX5,4.217167,1.942883,0.05203029599805579,MMADHC,0.59962803,1.4524066,0.14638857179130735,PRDX1,1.22191,6.197167,5.748857713972381e-10,SRSF3,0.64700896,3.1613464,0.0015704158418006588,ENHO,6.04622,3.0475225,0.0023073617273745594,STX11,3.0722988,2.2517436,0.02433848908384772
74,CCND2,0.63290715,0.9935056,0.3204636270021515,RBM4,0.67033935,2.0022197,0.045261108047518504,NAPRT1,1.6780989,4.739481,2.1426649959909176e-06,PCDH9,5.332089,1.9198964,0.05487098570386704,RCN2,0.5715139,1.441514,0.14943950700694505,NAPRT1,1.7849991,6.017636,1.7698277684453966e-09,CD47,0.9224322,3.1392071,0.0016940564488297156,MRP63,1.2432736,3.029292,0.002451275835611963,VAPA,2.0589929,2.2469313,0.024644418048314423
75,RFC1,0.76323825,0.98822004,0.32304489076418197,RP11-589C21.6,1.686892,1.9957213,0.0459642677583541,UBE2L6,0.84623504,4.715892,2.406544526757334e-06,NEMF,0.8627897,1.8818065,0.05986230089858166,PRSS23,1.3932997,1.42906,0.1529869983697643,MPP1,2.508854,5.8934684,3.7817254153478595e-09,MT-CO1,0.21334656,3.1339483,0.0017247117686318176,SAMD9L,1.6323266,3.0251,0.0024855092355026377,UBAC2,2.8749745,2.2190895,0.026480632019557984
76,MRPL1,0.78927404,0.98748595,0.3234044687830854,FAM107B,0.47998184,1.9910487,0.046475540661414655,C20orf27,1.5774565,4.616443,3.90372961166484e-06,LUC7L3,0.6196816,1.8210614,0.0685975213832804,CHMP4A,0.27587363,1.4244516,0.15431579471922463,DYNLL1,1.0591127,5.845605,5.047314143530998e-09,CCDC12,1.0047446,3.0761547,0.002096889403283233,TMEM14C,1.3630241,3.0174959,0.002548725489378731,TMEM140,5.0087733,2.1864357,0.028783746126049458
77,C16orf54,0.7274094,0.962409,0.33584419971996304,JTB,0.30049616,1.970625,0.04876677528457626,PSMA7,0.5555677,4.5922303,4.385337155169767e-06,MACROD2,8.182884,1.8073579,0.07070649832120256,RNF125,1.0320525,1.4157299,0.1568546021709729,BTK,2.2154803,5.8231473,5.77495400382948e-09,ACP1,0.9622481,3.036977,0.0023896355249243984,MTCH2,1.8210499,3.0140836,0.0025775668833309096,FHL1,5.1092615,2.1826546,0.029061248555501015
78,THYN1,0.34361953,0.95873845,0.337690510713183,RP11-18H21.1,1.445968,1.9684899,0.0490116976958676,CASP4,0.8401418,4.5154014,6.319701770847926e-06,KCNG1,6.820462,1.7951647,0.07262746916512491,CAPN12,1.4868724,1.4073129,0.1593346240482275,RAB7A,1.0748729,5.736605,9.659302685585742e-09,SH2D1A,1.6322291,3.0006392,0.0026941353614169596,DYNLL1,1.0112485,3.0092092,0.0026192867487634676,SLC40A1,4.9280148,2.15825,0.030908383490365402
79,API5,0.6867478,0.94191283,0.34623726839866553,EIF5B,0.5247935,1.9579377,0.05023732031965194,SF3B5,0.7410488,4.4878287,7.1952807203151995e-06,CEPT1,1.4514825,1.7834504,0.07451302529610634,CLEC2B,0.8887182,1.394478,0.16317332347840818,CSNK2B,1.0005075,5.660133,1.5125579515045915e-08,MAF1,0.91932845,3.0006392,0.0026941353614169596,IFI30,1.4032388,2.983082,0.0028536150558674885,XPNPEP1,4.600459,2.107207,0.03509963817326455
80,IL23A,0.90303236,0.92834663,0.353227802571047,RIC3,0.78416115,1.9513155,0.051019520973246926,ZYX,1.3260438,4.471756,7.757990757320972e-06,ACADM,1.1331211,1.7793614,0.07518053443403021,FAM173A,0.78435296,1.3880033,0.16513602702815777,ATP5C1,1.0860906,5.6481247,1.6220734652127312e-08,LGALS1,0.6912481,2.9880183,0.0028079277192768646,MRPS12,1.4184242,2.964169,0.0030350149962904555,PACSIN2,3.9846625,2.0853806,0.03703477736008575
81,SLFN5,0.44324145,0.9212111,0.35694020788724556,AKTIP,1.1168991,1.9418155,0.052159439808249,BLOC1S1,0.7766427,4.4071198,1.0475432616650306e-05,SIAH2,0.8449429,1.7647369,0.07760799526343663,CPNE2,2.06325,1.3875844,0.16526363498503904,TREX1,1.6607431,5.575234,2.4719753458769674e-08,NDUFB8-1,0.65501606,2.9628816,0.003047739038671728,MMADHC,1.2931007,2.9629016,0.0030475388173781277,B2M,0.24334417,2.0616634,0.03923978922785427
82,HNRNPH3,0.2809208,0.9111686,0.36220654444425493,ZC3H15,0.41346055,1.9377308,0.05265607547341697,UBE2D1,1.6959665,4.383011,1.1705024818709066e-05,PAWR,4.948899,1.7557853,0.07912506142741262,NPRL2,1.1610625,1.3525834,0.17618874709540477,IFIT1,2.09894,5.5195756,3.3981957665385894e-08,RNF213,1.0013607,2.8930454,0.0038152620302051654,ATXN10,1.5109434,2.960367,0.003072727965389499,TMEM219,1.9182892,1.990856,0.046496713755583605
83,RP11-349A22.5,0.44076315,0.8916121,0.37260088254293455,DENND2D,0.464887,1.9189782,0.054987085655398206,CRTAP,1.9634681,4.2000823,2.6681789984772925e-05,MT-CO1,0.102582,1.6895516,0.09111377776357223,SRP9,0.24433675,1.3493462,0.1772258143427221,MS4A6A,1.4255506,5.5189857,3.409620796495796e-08,LMAN2,0.8641004,2.8366716,0.004558647148962955,NDUFA2,1.1475078,2.945256,0.0032268745807036954,FTL,0.42876187,1.8549128,0.06360868458033977
84,ZNF626,1.2296963,0.8710278,0.38373894551907406,AP3M2,1.7170286,1.9165955,0.05528933900256307,GRB2,1.0551497,3.9533834,7.705381297972158e-05,PHF14,0.74838626,1.6200024,0.10523176439669994,PSMB8,0.1590978,1.3143833,0.18871726229399388,HLA-DMB,1.3096039,5.5175953,3.436698837211314e-08,CSNK2B,0.72917145,2.8347785,0.004585747255476422,BLOC1S1,1.0730648,2.9345322,0.003340508464771003,PVALB,10.438245,1.8444291,0.06512062242038426
85,EIF3D,0.14840002,0.850796,0.3948826981568526,HNRNPH3,0.4352459,1.9136558,0.055664155861580786,DYNLL1,0.6732968,3.8988616,9.664597511756126e-05,AIM2,2.3126378,1.615324,0.10624054364796742,BTN3A1,1.1481297,1.3141547,0.18879413580310156,LSM6,1.4377767,5.4931154,3.949040121490538e-08,TIGIT,1.9395103,2.7603672,0.005773641826707596,NAPRT1,1.4999553,2.9344347,0.0033415580099501706,ARHGAP6,9.757441,1.8440855,0.06517069174519388
86,ZNF75A,0.5799134,0.84354305,0.3989248067151948,SLBP,0.63622785,1.8604307,0.06282460828078192,RNF181,0.9164378,3.8785977,0.00010506027614136929,FAM96A,0.8518417,1.598563,0.10991774419305345,RNF113A,0.64290977,1.2581685,0.2083308478358793,PPT1,1.3183086,5.437457,5.4046308108101374e-08,SNAPIN,1.4164548,2.7195594,0.006536895469510536,IL1B,2.1186695,2.9281955,0.0034093568393860647,PDZK1IP1,10.102895,1.8430543,0.06532109025802459
87,GGNBP2,0.2284145,0.81920016,0.412672210590473,C12orf10,0.6758048,1.8604307,0.06282460828078192,VAMP5,0.95029813,3.871462,0.0001081844375405303,SNX10,0.9663343,1.5791128,0.11431019317695894,WTAP,0.4149676,1.2328413,0.21763498047193253,VAMP8,0.8396507,5.4243116,5.8178314301389074e-08,GNPTAB,2.4945493,2.7169826,0.006588006962449725,PSMA7,1.0004472,2.9222486,0.0034751408461286487,CTTN,8.6937895,1.8392732,0.06587500218603273
88,CGRRF1,0.7625159,0.81497175,0.41508848090268124,ACP1,0.3660048,1.8565936,0.06336899621270557,ZNF467,3.208985,3.8380702,0.00012400503347092742,RP11-164H13.1,5.4206777,1.5103371,0.13095741123692078,AHSA1,0.61910754,1.2255669,0.2203617055604864,ATP5H,0.955637,5.3485975,8.863833899283918e-08,PSMA7,0.47879833,2.6809602,0.007341124395748295,HSPB11,1.818987,2.90938,0.0036214644903104585,C19orf33,8.268185,1.8354923,0.06643277957617566
89,GPR183,0.35656306,0.81309247,0.4161650570266734,TMEM50A,0.3174934,1.851921,0.06403717770382103,NDUFB10,0.6872806,3.7034976,0.00021264711278659696,EIF3D,0.21625341,1.5007595,0.1334177969528625,ABI3,0.4187399,1.2079712,0.22705834434457417,ALDH2,1.6651263,5.3324184,9.69133251984425e-08,ARHGDIA,0.73796284,2.6676557,0.007638251324772318,ATP6V1F,1.0501865,2.8991435,0.0037418354461729226,ANKRD9,7.113299,1.8231182,0.06828549209693545
90,PAXIP1-AS1,0.8074641,0.8044007,0.421165616061806,CYB5B,0.69231486,1.850776,0.0642017887292715,TNFRSF1B,1.2213794,3.6419442,0.00027058673482631505,NT5C3A,0.81327343,1.489966,0.13623316573428038,FUS,0.2929612,1.2054956,0.2280120337061008,LAMTOR5,1.0410094,5.309498,1.0992773463891431e-07,SDHAF2,1.291534,2.666446,0.007665790249341219,CARHSP1,1.3839265,2.8938792,0.003805146329681993,GMPR,5.2727265,1.7540294,0.07942546352208658
91,ST3GAL2,0.9996215,0.78933686,0.4299151402425163,KIAA1430,1.3307916,1.8275983,0.06760985517399491,PPT1,0.9904341,3.6208837,0.0002935984921988805,PNRC1,0.14119814,1.450771,0.1468436520395739,ARPC4,0.2582897,1.1970406,0.2312907576291745,PSMB8,0.8615451,5.224767,1.7437430852213353e-07,DENND2D,1.1070906,2.6446748,0.008176944136075257,KARS,0.99839896,2.889882,0.003853864104188927,AGPAT1,3.84975,1.6588175,0.09715255892768866
92,NONO,0.24076135,0.77764994,0.4367754026077223,CCNG1,0.44709376,1.81881,0.06894041858026884,IL17RA,2.369102,3.5706918,0.00035603965847324733,RABEP2,1.826571,1.4472713,0.14782092994595242,DEXI,1.0455945,1.1921655,0.23319634552579782,CORO1B,1.2300467,5.0816817,3.7410769688951664e-07,FERMT3,1.0627209,2.617277,0.008863442757783493,FERMT3,1.0361364,2.889882,0.003853864104188927,CST3,1.4985723,1.5599966,0.11876068729966822
93,ARL16,0.49502176,0.7752421,0.43819661709648117,PITHD1,0.5737588,1.8050086,0.07107332771181088,TREX1,1.256596,3.5022798,0.00046129497902533916,RELB,1.3725308,1.428779,0.1530677733143415,TOR1A,0.77963746,1.1579643,0.24687857516791634,CAT,1.5171762,5.047638,4.4730582756109353e-07,HNRNPM,0.69488406,2.6058128,0.009165655061253459,SAT2,1.121714,2.8824728,0.0039456715690166675,LDLRAP1,2.0943933,1.5462476,0.12204478581986024
94,USP20,1.0632392,0.7704264,0.4410470090205437,ATP6V0E2,0.7416117,1.7833474,0.07452978407512305,CSNK2B,0.57852143,3.4378512,0.0005863497567942311,TAF1D,0.53036636,1.3556197,0.1752201986945131,GNPTAB,1.0806463,1.1409019,0.2539107565468194,APOBEC3B,3.6273832,5.0373154,4.7210695811274574e-07,SRP9,0.63392615,2.532243,0.011333543863153717,RPS19BP1,0.9991397,2.8706765,0.004095943311298523,LCN2,29.24542,1.3848686,0.1660926421611546
95,DUS3L,0.51833314,0.76364326,0.44507985592062704,SLFN5,0.764436,1.7673489,0.0771698209828805,UQCRC1,0.94754106,3.4257276,0.0006131550319262703,MFF,0.5708601,1.3239763,0.18551091588041047,NDUFB10,0.19812615,1.1364459,0.2557700251548417,YWHAE,1.3886591,4.9594946,7.067681134644107e-07,PILRB,1.9816222,2.52893,0.011441086703838777,HDAC1,1.2783933,2.8603427,0.004231834160605022,SPOCD1,29.488026,1.3848686,0.1660926421611546
96,LRRC8C,0.9234988,0.76276237,0.44560514052952005,HNRNPM,0.30987746,1.7278014,0.08402382839222178,MBOAT7,2.1454637,3.332791,0.0008597945880102293,MARCKSL1,0.5383453,1.2959799,0.19498244217705363,STX4,0.6251775,1.1338941,0.2568389842562441,OSCAR,2.6667423,4.9383855,7.87719227577091e-07,PLEKHJ1,1.0449836,2.4992707,0.012444923872379592,PLEKHJ1,1.295124,2.8567357,0.004280222184824464,SEC14L5,28.688787,1.3848686,0.1660926421611546
97,LBR,0.24316312,0.7567427,0.44920402610696464,HERPUD2,0.70015144,1.7087704,0.08749348615971927,NDUFA2,0.70688665,3.3225727,0.0008919144496408539,MRPS18A,1.0495646,1.2924802,0.19619088312520438,GBP1,0.59518063,1.1337417,0.2569029006708524,PSMB6,0.9277373,4.909103,9.149395834075089e-07,FAM96B,0.8371571,2.4829686,0.013029260681122553,BABAM1,1.3137995,2.8525436,0.00433708692117948,GATA2,9.87155,1.3826344,0.16677699199126883
98,IL27RA,0.41112623,0.72118276,0.4707970806393408,CCND2,1.0091763,1.6987443,0.089367372285093,SMARCD3,3.9976988,3.2879684,0.0010091320765564756,CHD2,0.62650186,1.2787398,0.2009886781907595,IL16,0.45730117,1.1234585,0.26124280421351476,RILPL2,1.1076713,4.9048896,9.34799208804917e-07,TMBIM4-1,0.66487575,2.4717674,0.013444696855199997,C12orf45,2.30178,2.843282,0.004465153753547566,SCN1B,8.738909,1.3804002,0.16746345911443516
99,STX16,0.501682,0.7163377,0.47378286870929953,TMEM14C,0.43249413,1.6970114,0.08969450636111687,LTB4R,2.6993797,3.2533293,0.001140612380194988,RBBP6,0.6417095,1.275977,0.20196363267083084,RCHY1,1.1968801,1.0845728,0.2781109063454119,ATP5D,0.83443356,4.88159,1.0523402312071752e-06,SF3B5,0.5827032,2.4694536,0.013531959169368583,OAZ1,0.6691673,2.8275862,0.004690038234265337,ATP9A,8.762234,1.3804002,0.16746345911443516
100,MNAT1,0.65167564,0.7152218,0.47447197665404006,MRP63,0.37788573,1.6698729,0.09494452744289954,PTAFR,3.3538444,3.1489275,0.0016387093037154396,PWP1,1.0848085,1.2607263,0.2074074654672482,DPY30,0.40458444,1.0259585,0.30491111378174174,RELT,2.8636293,4.865874,1.139521473677089e-06,HENMT1,2.1974773,2.434588,0.014908751636757329,LYPLA1,1.3039738,2.8162775,0.004858369060519008,AC137932.6,8.75563,1.3800565,0.16756925756504715
101,ORC2,1.4418606,0.71325445,0.4756883227042581,MAEA,0.7964085,1.666964,0.09552155969764206,FCGR1B,4.1053295,3.088309,0.0020129897628417366,NFATC1,1.4456023,1.2606158,0.20744729829116104,POLR2K,0.8322588,1.0229498,0.3063315908457718,G0S2,2.3892214,4.8042746,1.5531346646181227e-06,CARHSP1,1.1902415,2.3915188,0.01677881780332109,ALDH2,2.021868,2.8069184,0.005001790221197351,LGALSL,8.878583,1.3791971,0.1678339733346138
102,DIMT1,0.43088254,0.7108759,0.4771611110841689,LPIN1,0.9858672,1.6634363,0.09622512897158035,TXNDC17,1.2336208,3.0527694,0.0022674003691003065,CPNE5,3.3789463,1.2579267,0.20841827488349818,MRPL43,0.3539884,1.0205504,0.30746751461387634,NCKAP1L,1.5868716,4.7575064,1.9599894372353612e-06,MRPS12,1.1114058,2.3832626,0.017159942871210147,ACADM,1.5958006,2.777574,0.005476635043550382,DIAPH1,2.5865502,1.3790253,0.1678869541529211
103,OAT,0.6668219,0.69140756,0.48930946806970776,TTC1,0.5268273,1.6616415,0.09658467355892904,PARL,1.167563,3.0523539,0.0022705429021207,AL928768.3,5.1723123,1.249233,0.2115798548125869,MLLT6,0.9787006,1.0197506,0.30784677473850286,GRB2,1.1275853,4.735555,2.1845651466099317e-06,PLEKHA1,1.8623568,2.3427703,0.01914115858151559,TOMM40,1.77236,2.773382,0.005547694670582372,SMIM5,8.571441,1.3788534,0.16793994752932095
104,RBM48,1.0084844,0.68879414,0.4909528289853352,BTN3A2,0.3193925,1.6509656,0.09874560526433634,RAB34,2.4290676,3.0324018,0.0024261605582808284,METTL21A,0.97852665,1.1906246,0.23380099808900823,GIMAP2,0.3993484,0.9934332,0.3204988933959686,PLBD1,1.6971269,4.7063565,2.5218346671148448e-06,GADD45B,0.82576096,2.342718,0.019143856447197505,ALKBH7,1.1039531,2.772407,0.005564338952180424,ENKUR,8.544308,1.3788534,0.16793994752932095
